Area,Age,Year,Male,Female
TOT,8,2016,5,5
TOT,9,2016,8,5
TOT,10,2016,4,3
TOT,11,2016,4,2
TOT,12,2016,5,6
TOT,13,2016,6,3
TOT,14,2016,3,6
TOT,15,2016,13,4
TOT,16,2016,8,6
TOT,17,2016,11,3
TOT,18,2016,15,8
TOT,19,2016,17,6
TOT,20,2016,22,5
TOT,21,2016,24,7
TOT,22,2016,26,10
TOT,23,2016,33,9
TOT,24,2016,30,8
TOT,25,2016,33,10
TOT,26,2016,44,12
TOT,27,2016,49,7
TOT,28,2016,55,21
TOT,29,2016,52,13
TOT,30,2016,47,22
TOT,31,2016,62,25
TOT,32,2016,53,29
TOT,33,2016,63,26
TOT,34,2016,77,25
TOT,35,2016,86,32
TOT,36,2016,94,28
TOT,37,2016,60,35
TOT,38,2016,91,46
TOT,39,2016,138,27
TOT,40,2016,118,42
TOT,41,2016,141,39
TOT,42,2016,140,37
TOT,43,2016,151,61
TOT,44,2016,145,56
TOT,45,2016,154,67
TOT,46,2016,177,55
TOT,47,2016,167,61
TOT,48,2016,191,75
TOT,49,2016,217,85
TOT,50,2016,255,91
TOT,51,2016,284,82
TOT,52,2016,293,113
TOT,53,2016,309,136
TOT,54,2016,389,151
TOT,55,2016,426,197
TOT,56,2016,437,210
TOT,57,2016,493,252
TOT,58,2016,536,243
TOT,59,2016,482,256
TOT,60,2016,516,254
TOT,61,2016,539,294
TOT,62,2016,578,316
TOT,63,2016,587,330
TOT,64,2016,600,374
TOT,65,2016,644,421
TOT,66,2016,640,456
TOT,67,2016,696,508
TOT,68,2016,378,286
TOT,69,2016,395,327
TOT,70,2016,288,204
TOT,71,2016,299,257
TOT,72,2016,398,396
TOT,73,2016,410,447
TOT,74,2016,541,592
TOT,75,2016,454,534
TOT,76,2016,455,540
TOT,77,2016,464,579
TOT,78,2016,448,647
TOT,79,2016,447,653
TOT,80,2016,389,642
TOT,81,2016,411,646
TOT,82,2016,370,547
TOT,83,2016,339,610
TOT,84,2016,323,584
TOT,85,2016,312,576
TOT,86,2016,340,535
TOT,87,2016,245,504
TOT,88,2016,213,457
TOT,89,2016,149,358
TOT,90,2016,114,307
TOT,91,2016,83,232
TOT,92,2016,67,198
TOT,93,2016,47,157
TOT,94,2016,39,128
TOT,95,2016,33,79
TOT,96,2016,19,49
TOT,97,2016,11,35
TOT,98,2016,6,15
TOT,99,2016,4,9
TOT,100,2016,8,25
TOT,999,2017,19244,17535
TOT,0,2017,187,147
TOT,1,2017,7,11
TOT,2,2017,3,10
TOT,3,2017,8,6
TOT,4,2017,8,2
TOT,5,2017,3,3
TOT,6,2017,2,5
TOT,7,2017,8,6
TOT,8,2017,6,2
TOT,9,2017,1,3
TOT,10,2017,5,1
TOT,11,2017,4,5
TOT,12,2017,3,3
TOT,13,2017,7,2
TOT,14,2017,9,7
TOT,15,2017,10,6
TOT,16,2017,8,1
TOT,17,2017,12,4
TOT,18,2017,13,8
TOT,19,2017,9,4
TOT,20,2017,20,6
TOT,21,2017,26,2
TOT,22,2017,24,3
TOT,23,2017,29,5
TOT,24,2017,21,6
TOT,25,2017,31,14
TOT,26,2017,44,9
TOT,27,2017,39,14
TOT,28,2017,50,9
TOT,29,2017,49,16
TOT,30,2017,51,7
TOT,31,2017,67,24
TOT,32,2017,59,21
TOT,33,2017,63,14
TOT,34,2017,64,30
TOT,35,2017,79,19
TOT,36,2017,72,29
TOT,37,2017,78,35
TOT,38,2017,92,23
TOT,39,2017,106,34
TOT,40,2017,97,33
TOT,41,2017,96,50
TOT,42,2017,108,52
TOT,43,2017,150,57
TOT,44,2017,156,56
TOT,45,2017,147,64
TOT,46,2017,136,71
TOT,47,2017,154,52
TOT,48,2017,175,67
TOT,49,2017,201,81
TOT,50,2017,212,78
TOT,51,2017,221,80
TOT,52,2017,228,83
TOT,53,2017,282,126
TOT,54,2017,314,133
TOT,55,2017,339,151
TOT,56,2017,385,178
TOT,57,2017,449,192
TOT,58,2017,469,217
TOT,59,2017,490,228
TOT,60,2017,478,219
TOT,61,2017,474,225
TOT,62,2017,556,324
TOT,63,2017,569,305
TOT,64,2017,585,312
TOT,65,2017,585,346
TOT,66,2017,643,366
TOT,67,2017,628,427
TOT,68,2017,670,477
TOT,69,2017,370,295
TOT,70,2017,373,328
TOT,71,2017,253,218
TOT,72,2017,260,249
TOT,73,2017,339,375
TOT,74,2017,407,440
TOT,75,2017,545,601
TOT,76,2017,463,536
TOT,77,2017,416,564
TOT,78,2017,426,586
TOT,79,2017,437,625
TOT,80,2017,438,646
TOT,81,2017,428,679
TOT,82,2017,422,648
TOT,83,2017,309,580
TOT,84,2017,307,590
TOT,85,2017,331,600
TOT,86,2017,276,573
TOT,87,2017,226,519
TOT,88,2017,226,483
TOT,89,2017,163,420
TOT,90,2017,118,318
TOT,91,2017,83,259
TOT,92,2017,63,218
TOT,93,2017,58,184
TOT,94,2017,42,126
TOT,95,2017,28,108
TOT,96,2017,13,73
TOT,97,2017,20,33
TOT,98,2017,8,23
TOT,99,2017,8,9
TOT,100,2017,4,21
TOT,999,2018,19774,17489
TOT,0,2018,184,127
TOT,1,2018,9,8
TOT,2,2018,8,8
TOT,3,2018,10,7
TOT,4,2018,6,5
TOT,5,2018,5,3
TOT,6,2018,5,2
TOT,7,2018,7,2
TOT,8,2018,4,6
TOT,9,2018,7,3
TOT,10,2018,3,3
TOT,11,2018,6,4
TOT,12,2018,7,2
TOT,13,2018,7,5
TOT,14,2018,3,6
TOT,15,2018,5,4
TOT,16,2018,12,6
TOT,17,2018,16,6
TOT,18,2018,20,5
TOT,19,2018,17,5
TOT,20,2018,24,3
TOT,21,2018,18,6
TOT,22,2018,17,5
TOT,23,2018,16,9
TOT,24,2018,23,5
TOT,25,2018,28,9
TOT,26,2018,26,5
TOT,27,2018,22,9
TOT,28,2018,37,12
TOT,29,2018,54,14
TOT,30,2018,47,13
TOT,31,2018,66,15
TOT,32,2018,57,20
TOT,33,2018,64,22
TOT,34,2018,84,19
TOT,35,2018,59,17
TOT,36,2018,103,22
TOT,37,2018,76,33
TOT,38,2018,92,30
TOT,39,2018,110,31
TOT,40,2018,111,33
TOT,41,2018,107,43
TOT,42,2018,131,59
TOT,43,2018,138,44
TOT,44,2018,145,56
TOT,45,2018,150,68
TOT,46,2018,181,51
TOT,47,2018,187,56
TOT,48,2018,160,59
TOT,49,2018,191,82
TOT,50,2018,183,89
TOT,51,2018,221,71
TOT,52,2018,251,86
TOT,53,2018,277,113
TOT,54,2018,306,117
TOT,55,2018,338,150
TOT,56,2018,391,150
TOT,57,2018,443,168
TOT,58,2018,432,229
TOT,59,2018,453,271
TOT,60,2018,538,218
TOT,61,2018,567,258
TOT,62,2018,542,283
TOT,63,2018,635,310
TOT,64,2018,611,310
TOT,65,2018,592,311
TOT,66,2018,617,401
TOT,67,2018,608,452
TOT,68,2018,675,504
TOT,69,2018,645,517
TOT,70,2018,411,313
TOT,71,2018,368,327
TOT,72,2018,261,251
TOT,73,2018,303,281
TOT,74,2018,321,389
TOT,75,2018,414,487
TOT,76,2018,547,643
TOT,77,2018,456,594
TOT,78,2018,421,563
TOT,79,2018,443,568
TOT,80,2018,423,664
TOT,81,2018,444,646
TOT,82,2018,384,648
TOT,83,2018,358,591
TOT,84,2018,307,577
TOT,85,2018,275,554
TOT,86,2018,254,565
TOT,87,2018,250,500
TOT,88,2018,217,482
TOT,89,2018,164,384
TOT,90,2018,174,356
TOT,91,2018,115,256
TOT,92,2018,56,224
TOT,93,2018,58,164
TOT,94,2018,37,123
TOT,95,2018,41,96
TOT,96,2018,26,78
TOT,97,2018,18,37
TOT,98,2018,10,22
TOT,99,2018,1,15
TOT,100,2018,9,14
TOT,999,2019,19300,17111
TOT,0,2019,141,130
TOT,1,2019,12,7
TOT,2,2019,9,4
TOT,3,2019,3,3
TOT,4,2019,6,5
TOT,5,2019,4,1
TOT,6,2019,8,3
TOT,7,2019,0,2
TOT,8,2019,3,2
TOT,9,2019,9,6
TOT,10,2019,7,3
TOT,11,2019,5,1
TOT,12,2019,4,8
TOT,13,2019,4,3
TOT,14,2019,6,8
TOT,15,2019,9,4
TOT,16,2019,6,5
TOT,17,2019,12,2
TOT,18,2019,12,3
TOT,19,2019,18,11
TOT,20,2019,18,7
TOT,21,2019,18,6
TOT,22,2019,22,4
TOT,23,2019,21,13
TOT,24,2019,17,12
TOT,25,2019,17,14
TOT,26,2019,29,12
TOT,27,2019,23,8
TOT,28,2019,30,14
TOT,29,2019,35,8
TOT,30,2019,38,14
TOT,31,2019,46,19
TOT,32,2019,60,29
TOT,33,2019,56,18
TOT,34,2019,63,25
TOT,35,2019,54,26
TOT,36,2019,74,27
TOT,37,2019,93,23
TOT,38,2019,81,37
TOT,39,2019,105,46
TOT,40,2019,108,42
TOT,41,2019,144,34
TOT,42,2019,124,42
TOT,43,2019,129,53
TOT,44,2019,164,56
TOT,45,2019,153,48
TOT,46,2019,176,62
TOT,47,2019,160,55
