Area,Code,Age,Year,Deaths
TOT,MD.MD,999,2018,37263
Chisinau,MD.CV,999,2018,6333
Balti,MD.BT,999,2018,1257
Briceni,MD.BR,999,2018,994
Donduseni,MD.DO,999,2018,644
Drochia,MD.DR,999,2018,1141
Edinet,MD.ED,999,2018,1131
Falesti,MD.FA,999,2018,1176
Floresti,MD.FL,999,2018,1141
Glodeni,MD.GL,999,2018,728
Ocnita,MD.OC,999,2018,705
Riscani,MD.RS,999,2018,905
Singerei,MD.SI,999,2018,965
Soroca,MD.SO,999,2018,1194
Anenii Noi,MD.AN,999,2018,883
Calarasi,MD.CA,999,2018,902
Criuleni,MD.CR,999,2018,797
Dubasari,MD.DB,999,2018,360
Hincesti,MD.HI,999,2018,1414
Ialoveni,MD.IA,999,2018,940
Nisporeni,MD.NI,999,2018,757
Orhei,MD.OH,999,2018,1423
Rezina,MD.RZ,999,2018,582
Straseni,MD.ST,999,2018,938
Soldanesti,MD.SD,999,2018,556
Telenesti,MD.TE,999,2018,813
Ungheni,MD.UG,999,2018,1266
Basarabeasca,MD.BA,999,2018,263
Cahul,MD.CH,999,2018,1238
Cantemir,MD.CN,999,2018,597
Causeni,MD.CU,999,2018,1023
Cimislia,MD.CS,999,2018,768
Leova,MD.LE,999,2018,578
Stefan Voda,MD.SV,999,2018,792
Taraclia,MD.TA,999,2018,481
Gagauzia,MD.GA,999,2018,1578
TOT,MD.MD,999,2019,36411
Chisinau,MD.CV,999,2019,6071
Balti,MD.BT,999,2019,1282
Briceni,MD.BR,999,2019,1004
Donduseni,MD.DO,999,2019,636
Drochia,MD.DR,999,2019,1110
Edinet,MD.ED,999,2019,1040
Falesti,MD.FA,999,2019,1072
Floresti,MD.FL,999,2019,1081
Glodeni,MD.GL,999,2019,751
Ocnita,MD.OC,999,2019,657
Riscani,MD.RS,999,2019,944
Singerei,MD.SI,999,2019,952
Soroca,MD.SO,999,2019,1127
Anenii Noi,MD.AN,999,2019,883
Calarasi,MD.CA,999,2019,896
Criuleni,MD.CR,999,2019,768
Dubasari,MD.DB,999,2019,329
Hincesti,MD.HI,999,2019,1426
Ialoveni,MD.IA,999,2019,1001
Nisporeni,MD.NI,999,2019,674
Orhei,MD.OH,999,2019,1433
Rezina,MD.RZ,999,2019,614
Straseni,MD.ST,999,2019,986
Soldanesti,MD.SD,999,2019,521
Telenesti,MD.TE,999,2019,753
Ungheni,MD.UG,999,2019,1159
Basarabeasca,MD.BA,999,2019,273
Cahul,MD.CH,999,2019,1175
Cantemir,MD.CN,999,2019,613
Causeni,MD.CU,999,2019,1020
Cimislia,MD.CS,999,2019,707
Leova,MD.LE,999,2019,630
Stefan Voda,MD.SV,999,2019,854
Taraclia,MD.TA,999,2019,473
Gagauzia,MD.GA,999,2019,1496
TOT,MD.MD,999,2020,40717
Chisinau,MD.CV,999,2020,7776
Balti,MD.BT,999,2020,1500
Briceni,MD.BR,999,2020,1140
Donduseni,MD.DO,999,2020,679
Drochia,MD.DR,999,2020,1246
Edinet,MD.ED,999,2020,1165
Falesti,MD.FA,999,2020,1165
Floresti,MD.FL,999,2020,1241
Glodeni,MD.GL,999,2020,826
Ocnita,MD.OC,999,2020,770
Riscani,MD.RS,999,2020,958
Singerei,MD.SI,999,2020,1009
Soroca,MD.SO,999,2020,1259
Anenii Noi,MD.AN,999,2020,967
Calarasi,MD.CA,999,2020,921
Criuleni,MD.CR,999,2020,863
Dubasari,MD.DB,999,2020,386
Hincesti,MD.HI,999,2020,1412
Ialoveni,MD.IA,999,2020,1036
Nisporeni,MD.NI,999,2020,720
Orhei,MD.OH,999,2020,1555
Rezina,MD.RZ,999,2020,597
Straseni,MD.ST,999,2020,1015
Soldanesti,MD.SD,999,2020,590
Telenesti,MD.TE,999,2020,804
Ungheni,MD.UG,999,2020,1284
Basarabeasca,MD.BA,999,2020,330
Cahul,MD.CH,999,2020,1327
Cantemir,MD.CN,999,2020,620
Causeni,MD.CU,999,2020,1052
