year,HASC_1,sex,nr,observed,expected,ref_rate,value,lowerCI,upperCI
2014,MD.RS,2,8,2437,3186.188129,1384.695027,1059.103118,1017.466824,1102.005846
2014,MD.RZ,2,8,1577,1597.985739,1384.695027,1366.510354,1299.890159,1435.659804
2014,MD.SD,2,8,1505,1493.859019,1384.695027,1395.021879,1325.424315,1467.325531
2014,MD.SI,2,8,2457,3189.258462,1384.695027,1066.767,1024.998757,1109.800423
2014,MD.SO,2,8,3090,3743.054815,1384.695027,1143.105791,1103.152547,1184.136243
2014,MD.ST,2,8,2345,2730.657074,1384.695027,1189.131316,1141.484267,1238.25626
2014,MD.SV,2,8,1990,2250.760331,1384.695027,1224.272112,1171.067192,1279.271093
2014,MD.TA,2,8,1194,1548.268001,1384.695027,1067.855088,1008.136058,1130.187848
2014,MD.TE,2,8,1956,2175.619866,1384.695027,1244.915766,1190.350729,1301.336946
2014,MD.UG,2,8,3022,3621.003877,1384.695027,1155.632116,1114.793184,1197.584639
